manager,nationality,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,club
Alex McLeish,Scotland,28/11/2007,12/06/2011,0,0,1496,,,,Birmingham
Alex McLeish,Scotland,17/06/2011,14/05/2012,0,0,332,,,,Aston Villa
Alex Neil,Scotland,09/01/2015,10/03/2017,0,0,791,,,,Norwich
Archie Knox,Scotland,17/10/2007,25/10/2007,0,1,8,,,,Bolton
Billy Davies,Scotland,02/06/2006,26/11/2007,0,0,542,,,,Derby
Darren Fletcher,Scotland,05/01/2026,13/01/2026,0,1,8,,,,Man United
David Moyes,Scotland,29/12/2019,19/05/2024,0,0,1603,,,,West Ham
David Moyes,Scotland,23/07/2016,22/05/2017,0,0,303,,,,Sunderland
David Moyes,Scotland,07/11/2017,16/05/2018,0,0,190,,,,West Ham
David Moyes,Scotland,11/01/2025,,1,0,535,,,,Everton
David Moyes,Scotland,15/03/2002,01/06/2013,0,0,4096,,,,Everton
David Moyes,Scotland,01/07/2013,22/04/2014,0,0,325,,,,Man United
Duncan Ferguson,Scotland,18/01/2022,31/01/2022,0,1,13,,,,Everton
Duncan Ferguson,Scotland,05/12/2019,21/12/2019,0,1,16,,,,Everton
Eric Black,Scotland,23/11/2007,27/11/2007,0,1,4,,,,Birmingham
Eric Black,Scotland,29/03/2016,02/06/2016,0,1,65,,,,Aston Villa
Gary McAllister,Scotland,23/04/2011,22/05/2011,0,1,29,,,,Aston Villa
Graeme Souness,Scotland,13/09/2004,02/02/2006,0,0,507,,,,Newcastle
Joe Jordan,Scotland,24/11/2005,07/12/2005,0,1,13,,,,Portsmouth
Joe Jordan,Scotland,25/10/2008,28/10/2008,0,1,3,,,,Portsmouth
Kenny Dalglish,Scotland,08/01/2011,16/05/2012,0,0,494,,,,Liverpool
Kevin MacDonald,Scotland,25/10/2015,02/11/2015,0,1,8,,,,Aston Villa
Kevin MacDonald,Scotland,09/08/2010,08/09/2010,0,1,30,,,,Aston Villa
Malky Mackay,Scotland,17/06/2011,27/12/2013,0,0,924,,,,Cardiff
Paul Lambert,Scotland,15/01/2018,18/05/2018,0,0,123,,,,Stoke
Paul Lambert,Scotland,02/06/2012,11/02/2015,0,0,985,,,,Aston Villa
Paul Lambert,Scotland,18/08/2009,02/06/2012,0,0,1019,,,,Norwich
Ricky Sbragia,Scotland,04/12/2008,24/05/2009,0,0,171,,,,Sunderland
Russell Martin,Scotland,21/06/2023,15/12/2024,0,0,543,,,,Southampton
Scott Marshall,Scotland,11/02/2015,14/02/2015,0,1,3,,,,Aston Villa
Simon Rusk,Scotland,07/04/2025,25/05/2025,0,1,48,,,,Southampton
Simon Rusk,Scotland,15/12/2024,23/12/2024,0,1,8,,,,Southampton
Steve Clarke,Scotland,08/06/2012,14/12/2013,0,0,554,,,,West Brom
Steve Kean,Scotland,13/12/2010,28/09/2012,0,0,655,,,,Blackburn
Slaviša Jokanović,Serbia,27/12/2015,14/11/2018,0,0,1052,,,,Fulham
Aitor Karanka,Spain,13/11/2013,16/03/2017,0,0,1219,,,,Middlesbrough
Andoni Iraola,Spain,19/06/2023,24/05/2026,0,0,1070,,,,Bournemouth
Bruno Saltor,Spain,02/04/2023,06/04/2023,0,1,4,,,,Chelsea
Javi Gracia,Spain,21/01/2018,07/09/2019,0,0,594,,,,Watford
Javi Gracia,Spain,21/02/2023,03/05/2023,0,0,71,,,,Leeds
Juande Ramos,Spain,27/10/2007,25/10/2008,0,0,364,,,,Tottenham
Julen Lopetegui,Spain,01/07/2024,08/01/2025,0,0,191,,,,West Ham
Julen Lopetegui,Spain,14/11/2022,08/08/2023,0,0,267,,,,Wolves
Mikel Arteta,Spain,22/12/2019,,1,0,2382,,,,Arsenal
Pep Guardiola,Spain,01/07/2016,24/05/2026,0,0,3614,,,,Man City
Pepe Mel,Spain,09/01/2014,12/05/2014,0,0,123,,,,West Brom
Quique Sánchez Flores,Spain,05/06/2015,15/05/2016,0,0,345,,,,Watford
Quique Sánchez Flores,Spain,07/09/2019,01/12/2019,0,0,85,,,,Watford
Rafael Benítez,Spain,21/11/2012,27/05/2013,0,1,187,,,,Chelsea
Rafael Benítez,Spain,16/06/2004,03/06/2010,0,0,2178,,,,Liverpool
Rafael Benítez,Spain,11/03/2016,30/06/2019,0,0,1206,,,,Newcastle
Rafael Benítez,Spain,30/06/2021,16/01/2022,0,0,200,,,,Everton
Roberto Martínez,Spain,05/06/2013,12/05/2016,0,0,1072,,,,Everton
Roberto Martínez,Spain,15/06/2009,28/05/2013,0,0,1443,,,,Wigan
Rubén Sellés,Spain,07/11/2022,10/11/2022,0,1,3,,,,Southampton
Rubén Sellés,Spain,12/02/2023,28/05/2023,0,0,105,,,,Southampton
Unai Emery,Spain,01/11/2022,,1,0,1337,,,,Aston Villa
Xisco Muñoz,Spain,20/12/2020,03/10/2021,0,0,287,,,,Watford
Freddie Ljungberg,Sweden,29/11/2019,21/12/2019,0,1,22,,,,Arsenal
Sven-Göran Eriksson,Sweden,06/07/2007,02/06/2008,0,0,332,,,,Man City
Bob Bradley,United States,03/10/2016,27/12/2016,0,0,85,,,,Swansea
David Wagner,United States,09/11/2015,14/01/2019,0,0,1162,,,,Huddersfield
